Partial_Shading,Irradiance,Temperature,V_OC,I_SC,"P_MP,0","V_MP,0","I_MP,0","P_MP,1","V_MP,1","I_MP,1",V_0,I_0,V_1,I_1,V_2,I_2,V_3,I_3
0.2,1000,29,34.954,9,181.94,22.061,8.2471,86.002,32.308,2.662,27.153,2.7,19.903,8.7,24.1,7,33.44,2.3
0.2,1000,28,35.074,9,182.85,22.178,8.2446,86.346,32.46,2.6601,27.25,2.7,20.031,8.7,24.205,7,33.568,2.3
0.2,1000,27,35.194,9,183.75,22.274,8.2497,86.687,32.552,2.6631,27.347,2.7,20.292,8.7,24.3,7,33.691,2.3
0.2,1000,26,35.314,9,184.66,22.391,8.2471,87.031,32.712,2.6605,27.443,2.7,20.253,8.7,24.405,7,33.815,2.3
0.2,1000,25,35.434,9,185.57,22.446,8.2675,87.374,32.816,2.6625,27.54,2.7,20.448,8.7,24.526,7,33.94,2.3
0.2,1000,24,35.555,9,186.48,22.501,8.2876,87.717,32.948,2.6623,27.637,2.7,20.641,8.7,24.648,7,34.065,2.3
0.2,1000,23,35.674,9,187.39,22.597,8.2926,88.059,33.057,2.6638,27.734,2.7,20.735,8.7,24.743,7,34.191,2.3
0.2,1000,22,35.794,9,188.3,22.777,8.2673,88.402,33.192,2.6634,27.83,2.7,20.797,8.7,24.831,7,34.316,2.3
0.2,1000,21,35.914,9,189.21,22.873,8.2723,88.745,33.317,2.6636,27.927,2.7,20.892,8.7,24.926,7,34.439,2.3
0.2,1000,20,36.034,9,190.12,22.887,8.3073,89.086,33.429,2.6649,28.023,2.7,21.019,8.7,24.944,7.1,34.566,2.3
0.1,1000,50,32.721,9,192.03,23.415,8.2012,82.287,30.738,2.6771,28.623,2.7,21.623,8.6,25.555,7,31.537,2.3
0.1,1000,49,32.842,9,193.05,23.579,8.1873,82.625,30.846,2.6786,28.733,2.7,21.66,8.6,25.688,7,31.658,2.3
0.1,1000,48,32.962,9,194.07,23.682,8.1946,82.964,30.973,2.6785,28.843,2.7,21.913,8.6,25.794,7,31.785,2.3
0.1,1000,47,33.082,9,195.08,23.744,8.216,83.301,31.089,2.6795,28.953,2.7,21.95,8.6,25.927,7,31.909,2.3
0.1,1000,46,33.202,9,196.1,23.868,8.2162,83.641,31.226,2.6786,29.062,2.7,22.08,8.6,26.041,7,32.03,2.3
0.1,1000,45,33.322,9,197.12,23.971,8.2234,83.979,31.35,2.6787,29.172,2.7,22.179,8.6,26.147,7,32.154,2.3
0.1,1000,44,33.442,9,198.15,24.095,8.2236,84.317,31.479,2.6785,29.282,2.7,22.309,8.6,26.262,7,32.28,2.3
0.1,1000,43,33.562,9,199.17,24.239,8.2167,84.655,31.596,2.6793,29.392,2.7,22.469,8.6,26.386,7,32.403,2.3
0.1,1000,42,33.682,9,200.19,24.301,8.2378,84.993,31.724,2.6792,29.501,2.7,22.659,8.6,26.518,7,32.528,2.3
0.1,1000,41,33.802,9,201.21,24.425,8.2379,85.331,31.843,2.6797,29.611,2.7,22.789,8.6,26.632,7,32.651,2.3
0.1,1000,40,33.922,9,202.23,24.59,8.2241,85.668,31.966,2.68,29.72,2.7,22.828,8.6,26.764,7,32.773,2.3
0.1,1000,39,34.042,9,203.26,24.673,8.2381,86.005,32.085,2.6805,29.83,2.7,22.252,8.7,26.862,7,32.897,2.3
0.1,1000,38,34.162,9,204.28,24.714,8.2657,86.341,32.203,2.6812,29.939,2.7,22.417,8.7,26.985,7,33.021,2.3
0.1,1000,37,34.281,9,205.31,24.818,8.2726,86.682,32.352,2.6793,30.049,2.7,22.514,8.7,27.091,7,33.146,2.3
0.1,1000,36,34.401,9,206.34,24.983,8.259,87.018,32.462,2.6806,30.158,2.7,22.712,8.7,27.222,7,33.267,2.3
0.1,1000,35,34.521,9,207.37,25.108,8.2591,87.356,32.605,2.6793,30.267,2.7,22.844,8.7,27.337,7,33.391,2.3
0.1,1000,34,34.641,9,208.39,25.211,8.2659,87.69,32.698,2.6818,30.376,2.7,22.942,8.7,27.443,7,33.513,2.3
0.1,1000,33,34.76,9,209.42,25.294,8.2795,88.028,32.822,2.6819,30.486,2.7,23.006,8.7,27.582,7,33.639,2.3
0.1,1000,32,34.879,9,210.45,25.459,8.266,88.366,32.956,2.6814,30.595,2.7,23.204,8.7,27.672,7,33.759,2.3
0.1,1000,31,34.999,9,211.48,25.563,8.2728,88.702,33.073,2.682,30.704,2.7,23.302,8.7,27.819,7,33.884,2.3
0.1,1000,30,35.118,9,212.51,25.667,8.2796,89.04,33.203,2.6817,30.813,2.7,23.4,8.7,27.926,7,34.005,2.3
0.1,1000,29,35.237,9,213.54,25.708,8.3064,89.378,33.337,2.681,30.922,2.7,23.564,8.7,27.925,7.1,34.13,2.3
0.1,1000,28,35.357,9,214.58,25.853,8.2997,89.712,33.442,2.6826,31.031,2.7,23.728,8.7,28.048,7.1,34.252,2.3
0.1,1000,27,35.476,9,215.61,25.936,8.3129,90.048,33.568,2.6826,31.14,2.7,23.794,8.7,28.147,7.1,34.375,2.3
0.1,1000,26,35.595,9,216.64,26.082,8.3062,90.387,33.718,2.6807,31.249,2.7,23.958,8.7,28.27,7.1,34.5,2.3
0.1,1000,25,35.714,9,217.67,26.144,8.326,90.723,33.824,2.6822,31.358,2.7,24.154,8.7,28.401,7.1,34.623,2.3
0.1,1000,24,35.833,9,218.71,26.3,8.316,91.057,33.937,2.6831,31.467,2.7,24.171,8.7,28.487,7.1,34.743,2.3
0.1,1000,23,35.952,9,219.74,26.414,8.3193,91.395,34.094,2.6807,31.575,2.7,24.449,8.7,28.598,7.1,34.867,2.3
0.1,1000,22,36.071,9,220.78,26.476,8.3388,91.731,34.196,2.6825,31.684,2.7,23.439,8.8,28.729,7.1,34.988,2.3
0.1,1000,21,36.19,9,221.81,26.559,8.3517,92.068,34.329,2.6819,31.793,2.7,23.682,8.8,28.869,7.1,35.111,2.3
0.1,1000,20,36.309,9,222.85,26.767,8.3256,92.403,34.444,2.6827,31.901,2.7,24.809,8.7,28.975,7.1,35.236,2.3
